month,day,hour,outdoor_temp_c,facility_power_w,zone_temps_c,zone_rh_pct,zone_pmv,current_cooling_c,current_heating_c,cooling_c,heating_c,source,rationale
7,14,19,20.6,9265.620314181982,"{'CORE_ZN': 23.999885844507798, 'PERIMETER_ZN_1': 23.99993551048396, 'PERIMETER_ZN_2': 23.99996167162057, 'PERIMETER_ZN_3': 23.999942842239676, 'PERIMETER_ZN_4': 23.999961839800736}","{'CORE_ZN': 48.5478624460529, 'PERIMETER_ZN_1': 46.82540066018042, 'PERIMETER_ZN_2': 47.419887020166684, 'PERIMETER_ZN_3': 46.78362934834139, 'PERIMETER_ZN_4': 43.72650525686011}","{'CORE_ZN': -0.4877480869468869, 'PERIMETER_ZN_1': -0.4893290837666197, 'PERIMETER_ZN_2': -0.4710489470980306, 'PERIMETER_ZN_3': -0.4895819939355516, 'PERIMETER_ZN_4': -0.45099070309140976}",24.0,19.0,23.5,18.5,agent,Keeping temperatures in the comfort band to maintain occupant comfort while slightly reducing heating setpoint to save energy.
7,14,21,20.0,8939.421699655017,"{'CORE_ZN': 23.499799396089745, 'PERIMETER_ZN_1': 23.499850374389606, 'PERIMETER_ZN_2': 23.500393279849792, 'PERIMETER_ZN_3': 23.499874555135868, 'PERIMETER_ZN_4': 23.500385689601753}","{'CORE_ZN': 48.856144237024246, 'PERIMETER_ZN_1': 47.10865549799739, 'PERIMETER_ZN_2': 48.035424547892056, 'PERIMETER_ZN_3': 47.21332795294908, 'PERIMETER_ZN_4': 44.90462025038522}","{'CORE_ZN': -0.637146446881395, 'PERIMETER_ZN_1': -0.6462755540200508, 'PERIMETER_ZN_2': -0.6262796314727188, 'PERIMETER_ZN_3': -0.6462752616146674, 'PERIMETER_ZN_4': -0.6123191685243284}",23.5,18.5,24.0,19.0,agent,Maintain a comfortable PMV and save energy by not over-cooling
7,14,23,20.6,8062.596658214763,"{'CORE_ZN': 24.018288466264607, 'PERIMETER_ZN_1': 24.022257826655746, 'PERIMETER_ZN_2': 24.003583658416417, 'PERIMETER_ZN_3': 24.02303500478439, 'PERIMETER_ZN_4': 24.004652085788862}","{'CORE_ZN': 50.77548511571193, 'PERIMETER_ZN_1': 48.15724301112095, 'PERIMETER_ZN_2': 48.35797089017436, 'PERIMETER_ZN_3': 48.231022845545276, 'PERIMETER_ZN_4': 45.43727644765567}","{'CORE_ZN': -0.5025550155118202, 'PERIMETER_ZN_1': -0.5153199134867451, 'PERIMETER_ZN_2': -0.5171377624480642, 'PERIMETER_ZN_3': -0.5150668029099491, 'PERIMETER_ZN_4': -0.5012010724601047}",24.0,19.0,28.0,16.0,agent,Deep setback to save energy at unoccupied hours
7,15,1,20.0,4778.024130804039,"{'CORE_ZN': 24.776888248839832, 'PERIMETER_ZN_1': 24.794967685557925, 'PERIMETER_ZN_2': 24.872962695736877, 'PERIMETER_ZN_3': 24.8148078769501, 'PERIMETER_ZN_4': 25.21867752702393}","{'CORE_ZN': 53.77694387408496, 'PERIMETER_ZN_1': 50.90712256278492, 'PERIMETER_ZN_2': 51.212639024293374, 'PERIMETER_ZN_3': 50.8872178852552, 'PERIMETER_ZN_4': 48.67751279188917}","{'CORE_ZN': -0.3182317987484387, 'PERIMETER_ZN_1': -0.33605041766037946, 'PERIMETER_ZN_2': -0.30192701539125305, 'PERIMETER_ZN_3': -0.3306368677298179, 'PERIMETER_ZN_4': -0.2020368303176695}",28.0,16.0,26.0,19.0,agent,Pre-cooling to a lower-carbon hour while occupants aren
7,15,3,18.9,4778.024130804039,"{'CORE_ZN': 24.615605187042835, 'PERIMETER_ZN_1': 24.556960246505877, 'PERIMETER_ZN_2': 24.643959274661103, 'PERIMETER_ZN_3': 24.594694560636366, 'PERIMETER_ZN_4': 24.998965965205034}","{'CORE_ZN': 59.42044279391935, 'PERIMETER_ZN_1': 56.61956666583845, 'PERIMETER_ZN_2': 57.08939949033501, 'PERIMETER_ZN_3': 56.51616247635083, 'PERIMETER_ZN_4': 55.07448749950149}","{'CORE_ZN': -0.3217724086129392, 'PERIMETER_ZN_1': -0.3671781066627202, 'PERIMETER_ZN_2': -0.3285946983285163, 'PERIMETER_ZN_3': -0.3558873665868052, 'PERIMETER_ZN_4': -0.22141216094005398}",26.0,19.0,28.0,16.0,agent,"Unoccupied hours, aggressive setback to minimize energy consumption"
7,15,5,20.6,4983.230230939784,"{'CORE_ZN': 25.745975197142656, 'PERIMETER_ZN_1': 25.68407091438069, 'PERIMETER_ZN_2': 26.86275140566905, 'PERIMETER_ZN_3': 25.95436171160469, 'PERIMETER_ZN_4': 26.351824146847626}","{'CORE_ZN': 57.96617460772271, 'PERIMETER_ZN_1': 55.2374454990461, 'PERIMETER_ZN_2': 51.85812319270031, 'PERIMETER_ZN_3': 54.341758648765925, 'PERIMETER_ZN_4': 53.045265040305736}","{'CORE_ZN': -0.0592763657320951, 'PERIMETER_ZN_1': -0.09506148816057719, 'PERIMETER_ZN_2': 0.2848501627718507, 'PERIMETER_ZN_3': -0.009170132178523457, 'PERIMETER_ZN_4': 0.09413573277032782}",28.0,16.0,26.0,17.0,agent,Deep setback to reduce energy consumption during unoccupied hours
7,15,7,24.4,14030.65345182181,"{'CORE_ZN': 25.999771185072, 'PERIMETER_ZN_1': 25.99979391648322, 'PERIMETER_ZN_2': 25.999759455021312, 'PERIMETER_ZN_3': 25.999806393661565, 'PERIMETER_ZN_4': 25.999846401748407}","{'CORE_ZN': 62.727152407010664, 'PERIMETER_ZN_1': 60.33402801605254, 'PERIMETER_ZN_2': 55.81253132440003, 'PERIMETER_ZN_3': 60.19546325453277, 'PERIMETER_ZN_4': 57.76455991463993}","{'CORE_ZN': 0.14050721474059027, 'PERIMETER_ZN_1': 0.15859002836350286, 'PERIMETER_ZN_2': 0.26491504356499085, 'PERIMETER_ZN_3': 0.15683137453342672, 'PERIMETER_ZN_4': 0.17424758355603748}",26.0,17.0,25.5,19.5,agent,"Adjust cooling setpoint to maintain PMV within -0.5 to +0.5 range, and lower heating setpoint to stay meaningfully below the cooling setpoint"
7,15,9,27.8,15819.586290603514,"{'CORE_ZN': 25.49965730918525, 'PERIMETER_ZN_1': 25.49961226201071, 'PERIMETER_ZN_2': 25.49969686825267, 'PERIMETER_ZN_3': 25.499684220587987, 'PERIMETER_ZN_4': 25.499759085366748}","{'CORE_ZN': 64.96472027004647, 'PERIMETER_ZN_1': 60.791493330677106, 'PERIMETER_ZN_2': 57.63259851923955, 'PERIMETER_ZN_3': 61.42727481127843, 'PERIMETER_ZN_4': 58.858826239705074}","{'CORE_ZN': 0.07953565346867328, 'PERIMETER_ZN_1': 0.13120944297368703, 'PERIMETER_ZN_2': 0.20772000097548068, 'PERIMETER_ZN_3': 0.11373909257680802, 'PERIMETER_ZN_4': 0.12646523007845503}",25.5,19.5,24.8,20.1,agent,Adjust setpoints to maintain a PMV of around zero and save energy by reducing heating setpoint
7,15,11,30.6,16344.856829000168,"{'CORE_ZN': 24.799016432440975, 'PERIMETER_ZN_1': 24.79910804662941, 'PERIMETER_ZN_2': 24.799542810056003, 'PERIMETER_ZN_3': 24.79933230722988, 'PERIMETER_ZN_4': 24.799518917608466}","{'CORE_ZN': 62.39910103031472, 'PERIMETER_ZN_1': 56.22219664342555, 'PERIMETER_ZN_2': 57.32251234920085, 'PERIMETER_ZN_3': 58.11155950767968, 'PERIMETER_ZN_4': 55.85666749563044}","{'CORE_ZN': -0.11384335417867948, 'PERIMETER_ZN_1': -0.03284555965295625, 'PERIMETER_ZN_2': -0.0277981971332408, 'PERIMETER_ZN_3': -0.07354576985408144, 'PERIMETER_ZN_4': -0.06070497961613747}",24.8,20.1,25.0,19.0,agent,Maintain comfort within PMV range and keep heating setpoint meaningfully below cooling setpoint to minimize energy use.
7,15,13,31.7,17603.48460208698,"{'CORE_ZN': 24.999116138507105, 'PERIMETER_ZN_1': 24.999085572042972, 'PERIMETER_ZN_2': 24.99940141270391, 'PERIMETER_ZN_3': 24.999203516165522, 'PERIMETER_ZN_4': 24.99923239975668}","{'CORE_ZN': 63.575328404676114, 'PERIMETER_ZN_1': 57.928034232369285, 'PERIMETER_ZN_2': 59.19289141161924, 'PERIMETER_ZN_3': 59.601444030077054, 'PERIMETER_ZN_4': 56.45566260679086}","{'CORE_ZN': -0.039016230664375734, 'PERIMETER_ZN_1': 0.039520713244706365, 'PERIMETER_ZN_2': 0.05387265110249971, 'PERIMETER_ZN_3': 0.011761654463511318, 'PERIMETER_ZN_4': 0.0674455031903251}",25.0,19.0,24.5,19.0,agent,"Maintain current comfortable temperatures while occupied, with a slight adjustment to account for the slightly high outdoor temperature."
7,15,15,32.2,18497.50075259176,"{'CORE_ZN': 24.49920257281281, 'PERIMETER_ZN_1': 24.49926690832987, 'PERIMETER_ZN_2': 24.49951137793991, 'PERIMETER_ZN_3': 24.49933290231286, 'PERIMETER_ZN_4': 24.499306500560365}","{'CORE_ZN': 63.17246957148552, 'PERIMETER_ZN_1': 58.137024973581354, 'PERIMETER_ZN_2': 59.38275722828791, 'PERIMETER_ZN_3': 59.154550967110296, 'PERIMETER_ZN_4': 53.74100716943465}","{'CORE_ZN': -0.16384913998414205, 'PERIMETER_ZN_1': -0.10502909288328473, 'PERIMETER_ZN_2': -0.085112146206644, 'PERIMETER_ZN_3': -0.12087543538228712, 'PERIMETER_ZN_4': -0.01674964376785437}",24.5,19.0,25.0,20.0,agent,Maintain a comfortable temperature given occupied hours and current zone temperatures.
7,15,17,29.4,9175.119279866021,"{'CORE_ZN': 24.99992517487794, 'PERIMETER_ZN_1': 24.999931671545447, 'PERIMETER_ZN_2': 24.99993563357374, 'PERIMETER_ZN_3': 24.999942669501806, 'PERIMETER_ZN_4': 24.99994402077862}","{'CORE_ZN': 65.89707764064397, 'PERIMETER_ZN_1': 61.057253743022386, 'PERIMETER_ZN_2': 60.97455262909553, 'PERIMETER_ZN_3': 61.95106635420677, 'PERIMETER_ZN_4': 57.8990017001795}","{'CORE_ZN': -0.07755139529351564, 'PERIMETER_ZN_1': -0.03852979416490202, 'PERIMETER_ZN_2': -0.02249591339784098, 'PERIMETER_ZN_3': -0.049631466495527125, 'PERIMETER_ZN_4': -0.029698239252853406}",25.0,20.0,25.0,21.0,agent,"Occupied hours, PMV slightly below ideal, no need to adjust"
7,15,19,22.2,9249.471524253086,"{'CORE_ZN': 24.999941152982803, 'PERIMETER_ZN_1': 24.99993607552109, 'PERIMETER_ZN_2': 24.999950941881174, 'PERIMETER_ZN_3': 24.99994458712566, 'PERIMETER_ZN_4': 24.99994887908494}","{'CORE_ZN': 66.35716755395657, 'PERIMETER_ZN_1': 61.95717463925527, 'PERIMETER_ZN_2': 60.8743903436273, 'PERIMETER_ZN_3': 62.710388255822714, 'PERIMETER_ZN_4': 58.83791441594662}","{'CORE_ZN': -0.08798259575503103, 'PERIMETER_ZN_1': -0.08024633202360394, 'PERIMETER_ZN_2': -0.06802757011888985, 'PERIMETER_ZN_3': -0.08432371577898178, 'PERIMETER_ZN_4': -0.07526805283855854}",25.0,21.0,24.0,19.0,agent,"Pre-cooling to a lower carbon hour, as the next two hours have slightly lower grid carbon intensity."
7,15,21,23.9,9618.709502054553,"{'CORE_ZN': 23.999377335428044, 'PERIMETER_ZN_1': 23.999368827178493, 'PERIMETER_ZN_2': 24.00018593830041, 'PERIMETER_ZN_3': 23.99944563734352, 'PERIMETER_ZN_4': 24.000081573247066}","{'CORE_ZN': 63.44059978686, 'PERIMETER_ZN_1': 58.4403086752889, 'PERIMETER_ZN_2': 58.48832797696319, 'PERIMETER_ZN_3': 59.01698469426019, 'PERIMETER_ZN_4': 56.121878927047376}","{'CORE_ZN': -0.38290912553078743, 'PERIMETER_ZN_1': -0.38428740388619753, 'PERIMETER_ZN_2': -0.3661821459161491, 'PERIMETER_ZN_3': -0.38717641726616414, 'PERIMETER_ZN_4': -0.3753086742436843}",24.0,19.0,23.5,19.0,agent,"Pre-cool to a comfortable temperature, given it's occupied for another hour and we want to avoid a PMV > +0.5 during that time."
7,15,23,25.6,9846.978354631392,"{'CORE_ZN': 23.499040995435408, 'PERIMETER_ZN_1': 23.49912612377498, 'PERIMETER_ZN_2': 23.500040561230122, 'PERIMETER_ZN_3': 23.49921646755243, 'PERIMETER_ZN_4': 23.499922642552637}","{'CORE_ZN': 64.7645895793773, 'PERIMETER_ZN_1': 58.8108238332387, 'PERIMETER_ZN_2': 59.515232162986685, 'PERIMETER_ZN_3': 59.2665669360943, 'PERIMETER_ZN_4': 56.94465548889599}","{'CORE_ZN': -0.5237771008142511, 'PERIMETER_ZN_1': -0.527675425164149, 'PERIMETER_ZN_2': -0.5075696272399846, 'PERIMETER_ZN_3': -0.5315794877079091, 'PERIMETER_ZN_4': -0.5180970915015396}",23.5,19.0,28.0,16.0,agent,"Set back aggressively to save energy, unoccupied until 06:00."
7,16,1,22.2,4778.024130804039,"{'CORE_ZN': 25.182267763233565, 'PERIMETER_ZN_1': 25.357791459748086, 'PERIMETER_ZN_2': 25.502082387320428, 'PERIMETER_ZN_3': 25.325611327200562, 'PERIMETER_ZN_4': 25.56655550384386}","{'CORE_ZN': 72.1524547508934, 'PERIMETER_ZN_1': 65.40069341626283, 'PERIMETER_ZN_2': 66.24509826261244, 'PERIMETER_ZN_3': 65.75947873047998, 'PERIMETER_ZN_4': 64.73657357268412}","{'CORE_ZN': -0.06358508104073915, 'PERIMETER_ZN_1': -0.04856536424748132, 'PERIMETER_ZN_2': 0.012758878501152548, 'PERIMETER_ZN_3': -0.05766249590186624, 'PERIMETER_ZN_4': 0.024100642896577266}",28.0,16.0,28.0,16.0,agent,"Current unoccupied hour, setting back aggressively to save energy."
7,16,3,23.9,4778.024130804039,"{'CORE_ZN': 25.363412462661383, 'PERIMETER_ZN_1': 25.51891220129975, 'PERIMETER_ZN_2': 25.669787701305207, 'PERIMETER_ZN_3': 25.489207191497563, 'PERIMETER_ZN_4': 25.73213710293362}","{'CORE_ZN': 78.15693900822963, 'PERIMETER_ZN_1': 72.34627052430159, 'PERIMETER_ZN_2': 73.14861110178484, 'PERIMETER_ZN_3': 72.60998893663196, 'PERIMETER_ZN_4': 72.19833915383627}","{'CORE_ZN': 0.03024275713040521, 'PERIMETER_ZN_1': 0.049390069816825394, 'PERIMETER_ZN_2': 0.11323409422854473, 'PERIMETER_ZN_3': 0.04024355938363267, 'PERIMETER_ZN_4': 0.1284709294019994}",28.0,16.0,27.0,17.0,agent,"Since it is currently unoccupied and about to be occupied within a few hours, slightly pre-cool the zones"
7,16,5,25.6,5175.65703386823,"{'CORE_ZN': 26.263727683346044, 'PERIMETER_ZN_1': 26.521765562726838, 'PERIMETER_ZN_2': 26.999966708978086, 'PERIMETER_ZN_3': 26.763977154059955, 'PERIMETER_ZN_4': 26.98239954566281}","{'CORE_ZN': 77.1387437572903, 'PERIMETER_ZN_1': 71.40489008892918, 'PERIMETER_ZN_2': 66.06382036798793, 'PERIMETER_ZN_3': 70.44118208181764, 'PERIMETER_ZN_4': 69.95334921768433}","{'CORE_ZN': 0.2665429365040585, 'PERIMETER_ZN_1': 0.32281855949228994, 'PERIMETER_ZN_2': 0.5646861070977139, 'PERIMETER_ZN_3': 0.40156809054377385, 'PERIMETER_ZN_4': 0.44774854805064696}",27.0,17.0,28.0,16.0,agent,Deep unoccupied setback to minimize energy use
7,16,7,28.3,13454.69427634112,"{'CORE_ZN': 27.998826119776393, 'PERIMETER_ZN_1': 27.99997489771989, 'PERIMETER_ZN_2': 27.999593728318324, 'PERIMETER_ZN_3': 27.999984326892022, 'PERIMETER_ZN_4': 27.99998537356493}","{'CORE_ZN': 77.18909791399724, 'PERIMETER_ZN_1': 72.5345811973626, 'PERIMETER_ZN_2': 59.2034416056293, 'PERIMETER_ZN_3': 72.55596804446242, 'PERIMETER_ZN_4': 69.8940424321535}","{'CORE_ZN': 0.8280815611065313, 'PERIMETER_ZN_1': 0.8585373642741696, 'PERIMETER_ZN_2': 1.0427222402892131, 'PERIMETER_ZN_3': 0.8542510382889089, 'PERIMETER_ZN_4': 0.8464529216201322}",28.0,16.0,25.0,19.0,agent,Raise cooling and lower heating to improve occupant comfort
7,16,9,31.1,17622.050239263554,"{'CORE_ZN': 24.999385208335, 'PERIMETER_ZN_1': 24.999336092150735, 'PERIMETER_ZN_2': 24.999563774674996, 'PERIMETER_ZN_3': 24.999449680329764, 'PERIMETER_ZN_4': 24.999609492478516}","{'CORE_ZN': 62.931510790573356, 'PERIMETER_ZN_1': 58.28632701784009, 'PERIMETER_ZN_2': 54.863760311376744, 'PERIMETER_ZN_3': 59.014262181658886, 'PERIMETER_ZN_4': 57.2576746620278}","{'CORE_ZN': -0.022818402872314295, 'PERIMETER_ZN_1': 0.03977800577965436, 'PERIMETER_ZN_2': 0.15781517492680497, 'PERIMETER_ZN_3': 0.02056868422010697, 'PERIMETER_ZN_4': 0.022074324008978095}",25.0,19.0,24.5,19.0,agent,Reducing cooling setpoint to match forecasted lower grid carbon intensity
7,16,11,32.2,17474.51500158846,"{'CORE_ZN': 24.498723831164945, 'PERIMETER_ZN_1': 24.498834691614235, 'PERIMETER_ZN_2': 24.499327953612795, 'PERIMETER_ZN_3': 24.49910446127323, 'PERIMETER_ZN_4': 24.49937487573272}","{'CORE_ZN': 62.37927591887523, 'PERIMETER_ZN_1': 56.07805028115519, 'PERIMETER_ZN_2': 57.1335087266908, 'PERIMETER_ZN_3': 57.98090783697255, 'PERIMETER_ZN_4': 56.28320046821098}","{'CORE_ZN': -0.17083936628463225, 'PERIMETER_ZN_1': -0.08239827817447345, 'PERIMETER_ZN_2': -0.06117718604195183, 'PERIMETER_ZN_3': -0.12531940215198392, 'PERIMETER_ZN_4': -0.12157549320055461}",24.5,19.0,25.0,20.0,agent,Raise cooling setpoint to avoid overcooling and adjust heating setpoint slightly higher due to mild outdoor temperature.
7,16,13,33.3,18365.66977352736,"{'CORE_ZN': 24.998355262021242, 'PERIMETER_ZN_1': 24.99837894052095, 'PERIMETER_ZN_2': 24.998932781341285, 'PERIMETER_ZN_3': 24.998587803544222, 'PERIMETER_ZN_4': 24.99879095210838}","{'CORE_ZN': 63.48064914628305, 'PERIMETER_ZN_1': 57.54346088494121, 'PERIMETER_ZN_2': 58.54408008262253, 'PERIMETER_ZN_3': 59.28451458402382, 'PERIMETER_ZN_4': 56.31980030701186}","{'CORE_ZN': -0.01991719008641098, 'PERIMETER_ZN_1': 0.06986866518364282, 'PERIMETER_ZN_2': 0.0971666893221804, 'PERIMETER_ZN_3': 0.039124699889923224, 'PERIMETER_ZN_4': 0.09870974840811543}",25.0,20.0,25.0,20.0,agent,Current setpoints are appropriate for occupied hours and comfortable temperatures.
